310 UC 283              365  322 44 27 15
310 UC 240              353  318 38 23 15
310 UC 198              340  314 31 19 15
310 UC 158              327  311 25 16 15
310 UC 137              321  309 22 14 15
310 UC 118              315  307 19 12 15
310 UC 97               308  305 15 10 15

250 UC 90               260  256 17 11 13
250 UC 73               254  254 14 9  13

200 UC 60               210  205 14 9  10
200 UC 52               206  204 13 8  10
200 UC 46               203  203 11 7  10

150 UC 37               162  154 12 8  8
150 UC 30               158  153 9  7  8
150 UC 23               152  152 7  6  8

100 UC 15               97   99  7  5  10

