500 WC 440              480  500 40 40 0.1
500 WC 414              480  500 40 32 0.1
500 WC 383              472  500 36 32 0.1
500 WC 340              514  500 32 25 0.1
500 WC 290              506  500 28 20 0.1
500 WC 267              500  500 25 20 0.1
500 WC 228              490  500 20 20 0.1

400 WC 361              430  400 40 40 0.1
400 WC 328              430  400 40 28 0.1
400 WC 303              422  400 36 28 0.1
400 WC 270              414  400 32 25 0.1
400 WC 212              400  400 25 20 0.1
400 WC 181              390  400 20 20 0.1
400 WC 144              382  400 16 16 0.1

350 WC 280              355  350 40 28 0.1
350 WC 258              347  350 36 28 0.1
350 WC 230              339  350 32 25 0.1
350 WC 197              331  350 28 20 0.1
